year	month	day	streamflow
1952	4	18	0
1952	4	19	0.0028
1952	4	20	0.0085
1952	4	21	42.7584
1952	4	22	18.7741
1952	4	23	6.4562
1952	4	24	1.1327
1952	4	25	0.4248
1952	4	26	0.201
1952	4	27	0.1019
1952	4	28	0.0566
1952	4	29	0.0396
1952	4	30	0.0311
1952	5	1	0.1359
1952	5	2	4.7572
1952	5	3	2.4919
1952	5	4	0.3681
1952	5	5	0.1444
1952	5	6	0.068
1952	5	7	0.0425
1952	5	8	0.0396
1952	5	9	0.0311
1952	5	10	0.0198
1952	5	11	0.0113
1952	5	12	0.0113
1952	5	13	0.0057
1952	5	14	0.0057
1952	5	15	0.0057
1952	5	16	0.0028
1952	5	17	2.1804
1952	5	18	83.8179
1952	5	19	5.8616
1952	5	20	1.4158
1952	5	21	0.4531
1952	5	22	0.2095
1952	5	23	7.9004
1952	5	24	75.8891
1952	5	25	8.7499
1952	5	26	2.6901
1952	5	27	1.9255
1952	5	28	4.8139
1952	5	29	3.8511
1952	5	30	1.4158
1952	5	31	0.7362
1952	6	1	0.4248
1952	6	2	0.2832
1952	6	3	0.1982
1952	6	4	0.1416
1952	6	5	0.1133
1952	6	6	1.9539
1952	6	7	0.9628
1952	6	8	0.4248
1952	6	9	0.2577
1952	6	10	0.1982
1952	6	11	0.1416
1952	6	12	0.1133
1952	6	13	0.085
1952	6	14	0.0566
1952	6	15	0.0283
1952	6	16	0.0283
1952	6	17	0.0142
1952	6	18	0.0057
1952	6	19	0.0028
1952	6	20	0.0028
1952	6	21	0.0028
1952	6	22	0.0028
1952	6	23	0.0028
1952	6	24	0.0028
1952	6	25	0.0028
1952	6	26	0.0028
1952	6	27	0.0028
1952	6	28	0.0028
1952	6	29	0.0028
1952	6	30	0.0028
1952	7	1	0.0028
1952	7	2	0.0028
1952	7	3	0.0028
1952	7	4	0.0028
1952	7	5	0.0028
1952	7	6	0.0028
1952	7	7	0
1952	7	8	3.2848
1952	7	9	0.7929
1952	7	10	0.1218
1952	7	11	0.0311
1952	7	12	0.0113
1952	7	13	0.0028
1952	7	14	0.0028
1952	7	15	0
1952	7	16	0
1952	7	17	0
1952	7	18	0
1952	7	19	0
1952	7	20	0
1952	7	21	0
1952	7	22	0
1952	7	23	0
1952	7	24	0
1952	7	25	0
1952	7	26	0
1952	7	27	0
1952	7	28	0
1952	7	29	0
1952	7	30	0
1952	7	31	0
1952	8	1	0
1952	8	2	0
1952	8	3	0
1952	8	4	0
1952	8	5	0
1952	8	6	0
1952	8	7	0
1952	8	8	0
1952	8	9	0
1952	8	10	0
1952	8	11	0
1952	8	12	0
1952	8	13	0
1952	8	14	0
1952	8	15	0
1952	8	16	0
1952	8	17	0
1952	8	18	0
1952	8	19	0
1952	8	20	0
1952	8	21	0
1952	8	22	0
1952	8	23	0
1952	8	24	0
1952	8	25	0
1952	8	26	0
1952	8	27	0
1952	8	28	0
1952	8	29	0
1952	8	30	0
1952	8	31	0
1952	9	1	0
1952	9	2	0
1952	9	3	0
1952	9	4	0
1952	9	5	0
1952	9	6	0
1952	9	7	0
1952	9	8	0
1952	9	9	0
1952	9	10	0
1952	9	11	0
1952	9	12	0
1952	9	13	0
1952	9	14	0
1952	9	15	0
1952	9	16	0
1952	9	17	0
1952	9	18	0
1952	9	19	0
1952	9	20	0
1952	9	21	0
1952	9	22	0
1952	9	23	0
1952	9	24	0
1952	9	25	0
1952	9	26	0
1952	9	27	0
1952	9	28	0
1952	9	29	0
1952	9	30	0
1952	10	1	0
1952	10	2	0
1952	10	3	0
1952	10	4	0
1952	10	5	0
1952	10	6	0
1952	10	7	0
1952	10	8	0
1952	10	9	0
1952	10	10	0
1952	10	11	0
1952	10	12	0
1952	10	13	0
1952	10	14	0
1952	10	15	0
1952	10	16	0
1952	10	17	0
1952	10	18	0
1952	10	19	0
1952	10	20	0
1952	10	21	0
1952	10	22	0
1952	10	23	0
1952	10	24	0
1952	10	25	0
1952	10	26	0
1952	10	27	0
1952	10	28	0
1952	10	29	0
1952	10	30	0
1952	10	31	0
1952	11	1	0
1952	11	2	0
1952	11	3	0
1952	11	4	0
1952	11	5	0
1952	11	6	0
1952	11	7	0
1952	11	8	0
1952	11	9	0
1952	11	10	0
1952	11	11	0
1952	11	12	0
1952	11	13	0
